method,embedding_dims,celltype_ari,celltype_nmi,batch_ari,batch_nmi
PCA,6,0.27460179092741227,0.47751521102731886,0.3251456910223772,0.5283733199921861
Quantile-normalized PCA,6,0.31467590278737007,0.5478284711907274,0.18953543189520797,0.36101130992523867
ACPCA (λ=0.80),6,0.46097056829280664,0.6786443545667455,0.02348887857835316,0.07663102327915025
