lambda,runtime_seconds,batch_silhouette,celltype_silhouette,score
0.0,0.352994241999113,-0.0037914768,-0.15847288,-0.16226436
0.4,0.6124201750062639,-0.113261834,0.07426935,-0.038992487
0.8,0.46611807799490634,-0.10806872,0.07271474,-0.03535398
